time,ivc_raw,ivc_standarized
0.0,5.277479935682746e-08,-1.0644459189528674
0.01,-519547.1613819985,-1.1815233365219626
0.02,-429145.77800688456,-1.161151825912459
0.03,133259.83671129766,-1.0344164650216217
0.04,730235.4358278555,-0.8998909268386991
0.05,930986.7110083994,-0.8546526065881963
0.06,607938.7073052767,-0.9274498978366049
0.07,10179.506516163097,-1.0621520168326755
0.08,-431206.90115197055,-1.1616162899554858
0.09,-413717.8116229861,-1.1576752089721125
0.1,39298.25063650074,-1.0555902499366816
0.11,627650.692841685,-0.9230078980850849
0.12,1013075.2077415053,-0.8361543644188509
0.13,1055798.8432181869,-0.8265268016438615
0.14,874866.6960478247,-0.8672989781092054
0.15,706757.3425747469,-0.9051816005865999
0.16,694137.5130036391,-0.908025417599125
0.17,780333.7483218238,-0.8886015165842752
0.18,787417.3103326368,-0.8870052704509879
0.19,601055.0914476353,-0.9290010870799578
0.2,299285.41647827794,-0.9970034107806492
0.21,111811.2190070468,-1.039249806357874
0.22,238100.26176010512,-1.0107911868295334
0.23,670852.360281482,-0.913272613139873
0.24,1171366.5960456051,-0.8004841724832953
0.25,1425484.2530889246,-0.7432199984933944
0.26,1266712.3917794018,-0.778998462676145
0.27,798495.822019833,-0.8845087819023916
0.28,322585.52007562655,-0.9917528461331331
0.29,126308.39929809824,-1.0359829375215688
0.3,286036.77797362907,-0.999988926817932
0.31,628940.2033589206,-0.9227173131824852
0.32,874601.1484325092,-0.8673588179685169
0.33,845657.9301904117,-0.8738810309643679
0.34,591276.933745334,-0.9312045472034305
0.35,338822.99527934345,-0.9880938103304228
0.36,319005.9447420295,-0.9925594859672086
0.37,599080.7086910787,-0.9294460045996988
0.38,1043978.156083464,-0.8291905358079442
0.39,1423882.4402790645,-0.7435809591936869
0.4,1579044.6068922088,-0.7086159220964403
0.41,1518160.692085121,-0.7223358152013301
0.42,1385415.5887027541,-0.7522492764886715
0.43,1333011.1744221954,-0.7640583555275562
0.44,1402447.855363526,-0.7484111383094793
0.45,1502808.052432045,-0.7257954576304593
0.46,1495238.7175233911,-0.7275011703158359
0.47,1312920.3316183602,-0.7685857289155709
0.48,1023769.8458928957,-0.8337443798983504
0.49,790578.1457837983,-0.886292991606083
0.5,760353.6739579533,-0.8931039288448637
0.51,963537.8428543636,-0.8473173678673476
0.52,1292117.2561791004,-0.7732736004524776
0.53,1567167.7826262375,-0.711292306489116
0.54,1646130.258909892,-0.6934984977739278
0.55,1499339.5967920064,-0.7265770571838251
0.56,1213085.9444091907,-0.791082920908595
0.57,927780.407987635,-0.8553751313280419
0.58,757624.7130606734,-0.8937188868664813
0.59,740525.3641103072,-0.8975721417122903
0.6,839041.1501848714,-0.8753720900505357
0.61,978768.5803688043,-0.8438851954903107
0.62,1092691.5776115984,-0.8182132039747811
0.63,1145735.3470150759,-0.8062600493788251
0.64,1133339.193166651,-0.8090534621587202
0.65,1065287.5910382571,-0.8243885586251084
0.66,951092.2142809617,-0.8501219295350931
0.67,796460.2298561886,-0.8849674926633347
0.68,609630.2608949696,-0.9270687144894876
0.69,409512.2117053777,-0.9721643403528994
0.7,227731.10756255413,-1.013127825129309
0.71,101897.90938516133,-1.0414837223069204
0.72,63488.455812353845,-1.0501391052419022
0.73,127000.42165326003,-1.0358269936607132
0.74,286066.3410899185,-0.999982264913936
0.75,517767.0136342958,-0.9477696489921055
0.76,791273.6425281534,-0.8861362648085768
0.77,1074616.1662000231,-0.8222864097333051
0.78,1335884.279543834,-0.7634109153083638
0.79,1541145.067265185,-0.7171563984119804
0.8,1656073.6199289227,-0.6912578098891773
0.81,1656807.7878089903,-0.691092368739943
0.82,1547243.4802098752,-0.7157821508134854
0.83,1370587.041996706,-0.7555908171296185
0.84,1201178.3894611544,-0.7937662303105167
0.85,1112948.8863457623,-0.8136483183016752
0.86,1138398.804709899,-0.8079133033869725
0.87,1243926.4693571902,-0.7841331591049079
0.88,1342307.9204596176,-0.7619633791736063
0.89,1341051.3434218746,-0.7622465426773088
0.9,1199924.713535285,-0.7940487400628149
0.91,960964.6104435496,-0.8478972332344528
0.92,729346.5971405689,-0.900091222299589
0.93,615255.864649767,-0.9258010121347549
0.94,673471.1763133333,-0.9126824757262028
0.95,879100.7818974116,-0.8663448475241843
0.96,1152640.9013623823,-0.8047039164038802
0.97,1413282.1652872553,-0.7459696794366423
0.98,1621346.6412270337,-0.6990833650814697
0.99,1782060.6169157785,-0.6628672549003496
1.0,1914300.5338443893,-0.6330676349151901
1.01,2014789.3391628715,-0.6104229729946142
1.02,2049622.1699897193,-0.6025735645424917
1.03,1980473.3881756621,-0.6181559050971066
1.04,1802658.278593278,-0.6582256723522923
1.05,1561169.7573338042,-0.7126439322200395
1.06,1328124.5319679882,-0.7651595365591303
1.07,1156821.9464276272,-0.8037617383007859
1.08,1047912.405038102,-0.8283039720040777
1.09,955071.8722362514,-0.8492251330345132
1.1,827057.5222338996,-0.8780725421324536
1.11,654296.3397841298,-0.9170034315700898
1.12,484188.22740079084,-0.9553364646145136
1.13,393241.82209435554,-0.9758307932566824
1.14,436901.6801971632,-0.9659922572814064
1.15,613702.3417389025,-0.9261510909419504
1.16,867582.6258598578,-0.8689404077817893
1.17,1122325.0643677672,-0.811535442337606
1.18,1319719.150861501,-0.7670536481755115
1.19,1435281.7336614842,-0.7410121840553994
1.2,1468056.2386563113,-0.7336266092854543
1.21,1423144.8312380556,-0.7437471757917475
1.22,1307911.7523671598,-0.7697143878093291
1.23,1144432.254740589,-0.8065536948641461
1.24,979931.851141236,-0.8436230580981872
1.25,874480.2482586789,-0.8673860622327296
1.26,865411.3899872872,-0.8694296851906346
1.27,933681.848915922,-0.8540452704122735
1.28,1004184.278796941,-0.8381578918712018
1.29,989943.0708372302,-0.8413670785917146
1.3,854310.8384191872,-0.8719311403188438
1.31,645297.7366252901,-0.9190312228812069
1.32,471531.83667202824,-0.9581885205055076
1.33,431665.8260471598,-0.9671721314645705
1.34,546388.5301217136,-0.9413199299168548
1.35,743793.1607172417,-0.8968357596928732
1.36,910674.5888317226,-0.8592298442030979
1.37,972322.1233289245,-0.8453378731272966
1.38,940692.1577189971,-0.8524655315318942
1.39,894698.3384541111,-0.8628300142659512
1.4,909473.4859087552,-0.8595005068857342
1.41,992351.100590787,-0.8408244408372786
1.42,1078708.785440449,-0.8213641579583402
1.43,1092801.886846238,-0.8181883463270341
1.44,1024479.3022859326,-0.8335845073621332
1.45,955976.8082916278,-0.8490212101102751
1.46,1009296.3543261839,-0.8370059105962203
1.47,1247669.065270464,-0.7832897833786983
1.48,1605433.087929529,-0.7026694066632655
1.49,1905764.7455170886,-0.6349911331624299
1.5,1963650.591632278,-0.6219468402075026
1.51,1707616.8280488825,-0.6796427994561325
1.52,1236139.071983862,-0.7858880111026136
1.53,767565.4239983383,-0.8914787961646349
1.54,515133.09815095726,-0.9483631889934871
1.55,568727.7424959567,-0.9362858974175786
1.56,857336.8198537324,-0.8712492501685326
1.57,1208466.9928991392,-0.7921237790921623
1.58,1456473.1841336126,-0.7362367940999998
1.59,1526188.3161611038,-0.7205268292884219
1.6,1445547.3652268038,-0.7386988740756348
1.61,1295805.7112040508,-0.7724424251112588
1.62,1147783.023167372,-0.805798615550006
1.63,1030640.5257256037,-0.8321961057250922
1.64,943892.6395224727,-0.8517443185749587
1.65,886517.5730264109,-0.8646735098351809
1.66,868785.0802051018,-0.8686694405627375
1.67,895822.7929175448,-0.8625766239396472
1.68,943295.8056762937,-0.8518788121698089
1.69,956043.78803962,-0.849006116550908
1.7,880770.7575629945,-0.8659685266569707
1.71,711373.9121414708,-0.9041412791623381
1.72,509099.2005475031,-0.9497228983746521
1.73,375052.52834939293,-0.9799296618433206
1.74,388741.65062230825,-0.9768448849382998
1.75,554551.2875159833,-0.9394804923700845
1.76,795213.9696515962,-0.8852483313190299
1.77,998608.1671087181,-0.8394144414302396
1.78,1086192.551002827,-0.8196777279075916
1.79,1056639.938487788,-0.8263372649291723
1.8,977163.9165680823,-0.844246798647482
1.81,932494.2009291608,-0.8543129010906921
