time,envelope_standardized
0,-0.802211694649007
0.01,-0.802107305253599
0.02,-0.801699828754874
0.03,-0.800088806433464
0.04,-0.777841336540958
0.05,-0.774599674536706
0.06,-0.779027857791366
0.07,-0.785603709856868
0.08,-0.781247752191974
0.09,-0.776349924509022
0.1,-0.778476254919652
0.11,-0.778164656969071
0.12,-0.773898187892574
0.13,-0.770237870589764
0.14,-0.775976009783971
0.15,-0.781041339866668
0.16,-0.779178380601562
0.17,-0.775126422393275
0.18,-0.778161063926585
0.19,-0.782683310245105
0.2,-0.780045462847039
0.21,-0.782670343871516
0.22,-0.783490472616869
0.23,-0.780461411939778
0.24,-0.780925666186465
0.25,-0.782846774532672
0.26,-0.779490006196882
0.27,-0.782460168636134
0.28,-0.782214335406698
0.29,-0.778866939315446
0.3,-0.781896207459101
0.31,-0.77956947456957
0.32,-0.781381785916073
0.33,-0.776798725608434
0.34,-0.77583481054585
0.35,-0.777477351723218
0.36,-0.768863047516105
0.37,-0.765617413812838
0.38,-0.771234589524136
0.39,-0.764418171116371
0.4,-0.771208419615653
0.41,-0.779899673892774
0.42,-0.777259443675588
0.43,-0.778647793066297
0.44,-0.769318497272732
0.45,-0.780134096201046
0.46,-0.770306932424556
0.47,-0.769933359106671
0.48,-0.772170788000799
0.49,-0.775285908660888
0.5,-0.775162635804021
0.51,-0.782181279185283
0.52,-0.775000749696004
0.53,-0.75414871766707
0.54,-0.770061050577281
0.55,-0.755152499616678
0.56,-0.757367071469955
0.57,-0.751218175216892
0.58,-0.761749841200711
0.59,-0.765565510526629
0.6,-0.765816603474866
0.61,-0.771371052725883
0.62,-0.772219145198011
0.63,-0.773593790529081
0.64,-0.773502686663
0.65,-0.777823936174712
0.66,-0.769762635952871
0.67,-0.77879869665058
0.68,-0.778099783913928
0.69,-0.770057043521489
0.7,-0.776722125238976
0.71,-0.78019864767424
0.72,-0.769422841383756
0.73,-0.776016961268556
0.74,-0.779891418732645
0.75,-0.780167393191888
0.76,-0.783661351136086
0.77,-0.781779145925617
0.78,-0.773094562968889
0.79,-0.777690226277483
0.8,-0.782974874259137
0.81,-0.777096382335723
0.82,-0.783658159862423
0.83,-0.780277347295127
0.84,-0.782681435773578
0.85,-0.783398259805752
0.86,-0.775443342623034
0.87,-0.778628528774352
0.88,-0.735305044014373
0.89,-0.76195534130777
0.9,-0.764336904599325
0.91,-0.764255870802846
0.92,-0.765172265558336
0.93,-0.762756796231261
0.94,-0.777002417186218
0.95,-0.776860988482992
0.96,-0.77992269970419
0.97,-0.776993612470387
0.98,-0.779646927724303
0.99,-0.7822028230774
1,-0.784175637043906
1.01,-0.782388292165741
1.02,-0.779605456838355
1.03,-0.773700423741393
1.04,-0.778484588605672
1.05,-0.780263874601689
1.06,-0.781509744619904
1.07,-0.778105339718383
1.08,-0.783571241492321
1.09,-0.779286685064481
1.1,-0.785363135076065
1.11,-0.782989198158496
1.12,-0.780388665466172
1.13,-0.785437482489881
1.14,-0.777667306574144
1.15,-0.774093514597928
1.16,-0.779626053721494
1.17,-0.780572659958294
1.18,-0.783919373486127
1.19,-0.776721889169852
1.2,-0.783976751593118
1.21,-0.785827844423656
1.22,-0.77479097473006
1.23,-0.777308314640185
1.24,-0.778823057758729
1.25,-0.775427843327723
1.26,-0.781450448845614
1.27,-0.7862189971845
1.28,-0.780386355381267
1.29,-0.779580235183002
1.3,-0.780818771989025
1.31,-0.782116872648083
1.32,-0.782542077667137
1.33,-0.780159101937122
1.34,-0.780366920828076
1.35,-0.775494492924908
1.36,-0.782885960817817
1.37,-0.780069810203967
1.38,-0.783776773576809
1.39,-0.779697822505551
1.4,-0.779923888561283
1.41,-0.780584695792047
1.42,-0.778547452526913
1.43,-0.782620579994454
1.44,-0.779780967816544
1.45,-0.783727484140146
1.46,-0.77533220698428
1.47,-0.779675778349592
1.48,-0.783327810346428
1.49,-0.780871166071224
1.5,-0.781926120096051
1.51,-0.779715121117546
1.52,-0.784220311455581
1.53,-0.783696497740784
1.54,-0.782222277546207
1.55,-0.776861048283792
1.56,-0.779889637326847
1.57,-0.784762864134116
1.58,-0.784759394915332
1.59,-0.780800446940301
1.6,-0.782769053647558
1.61,-0.782609393330949
1.62,-0.78034831127764
1.63,-0.778236905475862
1.64,-0.777128418741933
1.65,-0.783593577938041
1.66,-0.781511733211472
1.67,-0.78161380403363
1.68,-0.780750076531673
1.69,-0.783897668141983
1.7,-0.782199359293923
1.71,-0.777035902132596
1.72,-0.776660843820193
1.73,-0.781204894769934
1.74,-0.784764639537128
1.75,-0.777950156472651
1.76,-0.770746903049321
1.77,-0.783452664346203
1.78,-0.785105411104023
1.79,-0.778021616415292
1.8,-0.780712583055005
1.81,-0.784079553951509
1.82,-0.779418353510672
1.83,-0.78103258889921
1.84,-0.77990714011275
1.85,-0.783353381602306
1.86,-0.775367752886959
1.87,-0.772307935866627
1.88,-0.780654863711553
1.89,-0.783466925692078
1.9,-0.784197755773696
1.91,-0.7809307257397
1.92,-0.777498120624795
1.93,-0.782748974276866
1.94,-0.769885936798044
1.95,-0.782141458541201
1.96,-0.782438521300466
1.97,-0.781830274098299
1.98,-0.779624019138893
1.99,-0.7773344624505
2,-0.784461202062021
2.01,-0.781293876544626
2.02,-0.780112993536319
2.03,-0.780937778932936
2.04,-0.78274956358502
2.05,-0.778790536391568
2.06,-0.781022790213491
2.07,-0.780805700459482
2.08,-0.782964699902209
2.09,-0.778315699843444
2.1,-0.775986024740131
2.11,-0.781167911985224
2.12,-0.780328038130651
2.13,-0.773421268628744
2.14,-0.779937302387709
2.15,-0.784150207148129
2.16,-0.782486621397265
2.17,-0.780411790384179
2.18,-0.775463311440554
2.19,-0.78659906393575
2.2,-0.781408525258777
2.21,-0.782205878690659
2.22,-0.777774083257176
2.23,-0.784835082616298
2.24,-0.78140399097145
2.25,-0.779395950961046
2.26,-0.778517366030216
2.27,-0.780827942511138
2.28,-0.781313420300856
2.29,-0.783636173210184
2.3,-0.77856642010097
2.31,-0.77278719203864
2.32,-0.781403645059938
2.33,-0.781341032239937
2.34,-0.782504870367088
2.35,-0.777607783607836
2.36,-0.779236212106853
2.37,-0.780770113320839
2.38,-0.77762158130517
2.39,-0.783045321500006
2.4,-0.781849783489824
2.41,-0.783991122766308
2.42,-0.78383073047704
2.43,-0.785965962847509
2.44,-0.783275162838842
2.45,-0.782906689615926
2.46,-0.783055880085708
2.47,-0.780333371875536
2.48,-0.780998503713419
2.49,-0.786212723881598
2.5,-0.779723068803025
2.51,-0.783766258325612
2.52,-0.778405455938056
2.53,-0.774815411281449
2.54,-0.780016645692564
2.55,-0.777200646803335
2.56,-0.783120656951639
2.57,-0.776782219010556
2.58,-0.775839054777686
2.59,-0.777940935098481
2.6,-0.776872907086304
2.61,-0.777610255231745
2.62,-0.777872249642552
2.63,-0.781727282755166
2.64,-0.782585430422667
2.65,-0.779489813322434
2.66,-0.779275240825793
2.67,-0.782305220826587
2.68,-0.779901912523393
2.69,-0.777782485224297
2.7,-0.779416276793669
2.71,-0.777436885220432
2.72,-0.78547072210563
2.73,-0.776341019143305
2.74,-0.774811017750903
2.75,-0.786159658764151
2.76,-0.776743687923207
2.77,-0.78292951927549
2.78,-0.780738841167106
2.79,-0.786627197400408
2.8,-0.77997992478074
2.81,-0.777521131492881
2.82,-0.781957996881782
2.83,-0.771519096019363
2.84,-0.775678756470634
2.85,-0.779187743074403
2.86,-0.774322669255268
2.87,-0.7728831169642
2.88,-0.768419182869261
2.89,-0.775880079471871
2.9,-0.771030725638584
2.91,-0.779664636209853
2.92,-0.775014685766943
2.93,-0.773523975546017
2.94,-0.774633654187344
2.95,-0.7765692225866
2.96,-0.768907192366212
2.97,-0.766383570949269
2.98,-0.775650566641959
2.99,-0.775748612005386
3,-0.771212248555658
3.01,-0.776358239029612
3.02,-0.771498256949603
3.03,-0.776102887569589
3.04,-0.775239125167584
3.05,-0.776046796547797
3.06,-0.776959886639392
3.07,-0.772821597854471
3.08,-0.773451525209986
3.09,-0.779825853304723
3.1,-0.768275611030703
3.11,-0.776662405951025
3.12,-0.774905773237692
3.13,-0.779143989629101
3.14,-0.773228289250097
3.15,-0.773267608274426
3.16,-0.773397891825052
3.17,-0.775376177669929
3.18,-0.775195753362495
3.19,-0.772552515660135
3.2,-0.774736740646035
3.21,-0.774292735704773
3.22,-0.772751206164224
3.23,-0.778559263762663
3.24,-0.774735580953676
3.25,-0.772127144623135
3.26,-0.772076328136515
3.27,-0.773680831169299
3.28,-0.7751637172682
3.29,-0.771635408080404
3.3,-0.768977338605988
3.31,-0.784589035457223
3.32,-0.770236685759059
3.33,-0.771001947480504
3.34,-0.773439294408308
3.35,-0.777211662835543
3.36,-0.775542265477063
3.37,-0.774999007954673
3.38,-0.770219091715596
3.39,-0.764273336518918
3.4,-0.776225472366002
3.41,-0.772784965765922
3.42,-0.770928383169223
3.43,-0.771297062343815
3.44,-0.765708598791369
3.45,-0.76646060254157
3.46,-0.771835646535067
3.47,-0.771171112097054
3.48,-0.776138808294497
3.49,-0.773033311224808
3.5,-0.779949286188205
3.51,-0.775904721851366
3.52,-0.775524223318965
3.53,-0.772956276848505
3.54,-0.774885502716315
3.55,-0.767082319381218
3.56,-0.776051533837439
3.57,-0.768617430334742
3.58,-0.776029661828952
3.59,-0.771209089106235
3.6,-0.772647028598258
3.61,-0.773598518658971
3.62,-0.777454674199554
3.63,-0.780067038840919
3.64,-0.776892207938305
3.65,-0.774107787116704
3.66,-0.774791001764824
3.67,-0.779433304012781
3.68,-0.772203794694936
3.69,-0.774702793258193
3.7,-0.773100385456414
3.71,-0.769739582167837
3.72,-0.77428600626755
3.73,-0.778702020113778
3.74,-0.772171910193298
3.75,-0.776767975752067
3.76,-0.779713394292407
3.77,-0.771809438522318
3.78,-0.776172076457808
3.79,-0.770538973616171
3.8,-0.77218912915707
3.81,-0.771339008203325
3.82,-0.772509344563463
3.83,-0.770235364391018
3.84,-0.769297093665132
3.85,-0.769440986181819
3.86,-0.772986422626853
3.87,-0.777102616802881
3.88,-0.780530542487281
3.89,-0.779369052503584
3.9,-0.780691927548248
3.91,-0.77240279902705
3.92,-0.776354002597193
3.93,-0.77583269739914
3.94,-0.775300493406366
3.95,-0.762985986649194
3.96,-0.759353754103497
3.97,-0.768260674827489
3.98,-0.770888116953857
3.99,-0.765671765242921
4,-0.773450491208164
4.01,-0.774233989346871
4.02,-0.766830428516847
4.03,-0.776605985352833
4.04,-0.776507948620172
4.05,-0.773044885792271
4.06,-0.782987178440037
4.07,-0.771015907385641
4.08,-0.772871134957273
4.09,-0.767693301903682
4.1,-0.776515964712352
4.11,-0.77357452675684
4.12,-0.769855645062705
4.13,-0.774232608878403
4.14,-0.768019000876428
4.15,-0.76697609026919
4.16,-0.776539005569994
4.17,-0.772568910888878
4.18,-0.777094618897572
4.19,-0.779717460027102
4.2,-0.775371516548289
4.21,-0.778002802052119
4.22,-0.771316620923229
4.23,-0.78000871439108
4.24,-0.777590681072968
4.25,-0.774017108671201
4.26,-0.774641634156648
4.27,-0.78050964763599
4.28,-0.773222331720605
4.29,-0.775827901390456
4.3,-0.771539637225314
4.31,-0.776919568305375
4.32,-0.777122320618665
4.33,-0.772476490133511
4.34,-0.775559912475218
4.35,-0.765256524540692
4.36,-0.774875686653707
4.37,-0.772758779423571
4.38,-0.776399116514517
4.39,-0.773719233658564
4.4,-0.772901440319594
4.41,-0.773539427927071
4.42,-0.77155273372717
4.43,-0.767477903682472
4.44,-0.772152772856877
4.45,-0.776642224074229
4.46,-0.775218462273204
4.47,-0.762985162550158
4.48,-0.772346663203739
4.49,-0.773538512265725
4.5,-0.776111783961155
4.51,-0.777170315361211
4.52,-0.779780422018086
4.53,-0.778931812897837
4.54,-0.777525559461865
4.55,-0.777692625754008
4.56,-0.771174641178373
4.57,-0.767809015526961
4.58,-0.772055921458589
4.59,-0.76929927694121
4.6,-0.781034091129024
4.61,-0.77130803991584
4.62,-0.776649818829695
4.63,-0.771512091027952
4.64,-0.777828870292981
4.65,-0.77795640522884
4.66,-0.773130854435298
4.67,-0.764079943636712
4.68,-0.775491967790621
4.69,-0.781589270649237
4.7,-0.774748085561375
4.71,-0.756122119102962
4.72,-0.76077559214354
4.73,-0.763219113732438
4.74,-0.759570972714276
4.75,-0.764429658857008
4.76,-0.757365964000355
4.77,-0.76062439553249
4.78,-0.766388867988235
4.79,-0.761430600659416
4.8,-0.768960748209481
4.81,-0.764114289611866
4.82,-0.757279003368228
4.83,-0.768181617164052
4.84,-0.765740907638587
4.85,-0.759284747093218
4.86,-0.761942741855026
4.87,-0.766366184669774
4.88,-0.764247542961885
4.89,-0.761913212800123
4.9,-0.763561096920143
4.91,-0.752492591753663
4.92,-0.756707599408315
4.93,-0.766836774435934
4.94,-0.757842349368741
4.95,-0.7650456724784
4.96,-0.754636655154838
4.97,-0.76090297073266
4.98,-0.769526976057911
4.99,-0.750599764315129
5,-0.759308671576941
5.01,-0.767340367340098
5.02,-0.768910439398765
5.03,-0.767989544894028
5.04,-0.759916092749896
5.05,-0.758955947084851
5.06,-0.768859248188954
5.07,-0.755695546084748
5.08,-0.768773722935779
5.09,-0.759426684258333
5.1,-0.761197275742548
5.11,-0.753354346828584
5.12,-0.761115558421365
5.13,-0.763137407017451
5.14,-0.757200340875058
5.15,-0.752698758323555
5.16,-0.754802310861025
5.17,-0.746796590065601
5.18,-0.754332276720057
5.19,-0.754904114938737
5.2,-0.751412181094133
5.21,-0.757396685246175
5.22,-0.766775526679555
5.23,-0.758543358835089
5.24,-0.768854884162733
5.25,-0.762803714601508
5.26,-0.758660264201589
5.27,-0.747419942003746
5.28,-0.752090808975621
5.29,-0.751517952980952
5.3,-0.762573996293301
5.31,-0.762107581938672
5.32,-0.757791005384217
5.33,-0.755779896018895
5.34,-0.756765248483285
5.35,-0.753709370983513
5.36,-0.748741717828774
5.37,-0.75050572827632
5.38,-0.737242423648885
5.39,-0.58878315847755
