Unnamed: 0,POS_sentence,POS_word,base,dep,freq,function,index_s,ld20,length,open,story,type,v_onset,word,xmax,xmin,local_freq,entropy,isV,isN,isC,is_key,is_key_and_C,duration,freq_binary,freq_quart,sc_onset,ivc_avg,Entropy_Roark,Surprisal_Roark,env_avg
0,Ignore,Ignore,1.00E-07,1e-07,1e-07,1.00E-07,1e-07,1e-07,1e-07,1e-07,1e-07,Ignore,1e-07,Ignore,1e-07,0.0,1e-07,1e-07,0,0,0,0,0,1e-07,0,1,0.0,0.0,0.0,0.0,0.0
1,NE,N,Samir,2.0,15.0,objd,1.0,1.85,0.6,1.0,1.0,low,0.74,Samir,1.34,0.74,0.013861386000000002,1.47e-05,0,1,1,0,0,0.6000000000000001,1,4,-0.6762999999999999,-0.4976439745676386,5.939,10.615,0.6674520115520887
2,VAFIN,V,sein,0.0,4.0,root,2.0,1.1,0.16,0.0,1.0,low,1.39,war,1.5,1.34,0.011386138999999998,1.26e-05,1,1,1,0,0,0.15999999999999992,0,2,-0.02629999999999999,-0.4017957734323101,7.307,2.498,0.9823983926663814
3,ART,ART,eine,6.0,3.0,det,3.0,1.0,0.22,1.0,1.0,low,1.5,ein,1.72,1.5,0.018564356,1.83e-05,0,0,0,0,0,0.22,0,2,0.08370000000000011,-0.4779704184000666,5.5729999999999995,1.9040000000000001,0.5249950728638956
4,ADJA,ADJA,arm,6.0,12.0,attr,4.0,1.55,0.38,2.0,1.0,low,1.72,armer,2.1,1.72,0.002227723,3.37e-06,1,1,1,0,0,0.3800000000000001,1,4,0.3037000000000001,-0.5816369110921975,8.23,3.07,1.0290708900292949
5,ADJA,ADJA,indisch,6.0,17.0,attr,5.0,2.6,0.47,3.0,1.0,low,2.1,indischer,2.57,2.1,0.0014851489999999998,2.39e-06,1,1,1,0,0,0.4699999999999998,1,4,0.6837000000000002,-0.622557617543044,7.919,10.683,0.4947773944423657
6,NN,N,Junge,2.0,9.0,subj,6.0,1.55,0.32,0.0,1.0,low,2.68,Junge,2.89,2.57,0.001732673,2.73e-06,0,1,1,0,0,0.3200000000000003,1,3,1.2637000000000005,-0.6156541045938388,7.388,1.601,0.016192172810794152
7,ADV,ADV,so,9.0,4.0,adv,8.0,1.25,0.31,1.0,1.0,low,3.21,so,3.52,3.21,0.003960396,5.42e-06,1,1,1,0,0,0.31000000000000005,0,2,1.7937,0.8815411859344215,5.079,3.16,0.7142773649792047
8,ADJD,ADV,arm,2.0,12.0,pred,9.0,1.45,0.35,0.0,1.0,low,3.52,arm,3.87,3.52,0.002227723,3.37e-06,1,1,1,1,1,0.3500000000000001,1,4,2.1037,0.7748460285139569,6.472,9.172,0.9559385243726878
9,KOKOM,KOKOM,wie,9.0,3.0,kom,10.0,1.5,0.13,0.0,1.0,low,3.9,wie,4.0,3.87,0.01039604,1.18e-05,0,0,0,0,0,0.1299999999999999,0,2,2.4837,-0.08921115323399982,3.9330000000000003,0.483,-0.39025504198398486
10,ART,ART,die,12.0,0.0,det,11.0,1.15,0.12,1.0,1.0,low,4.03,der,4.12,4.0,0.109653465,6e-05,0,0,0,0,0,0.1200000000000001,0,1,2.6137000000000006,0.3849581176905236,5.8210000000000015,1.89,0.025702673224625112
11,NN,N,Staub,10.0,11.0,cj,12.0,1.6,0.43,0.0,1.0,low,4.33,Staub,4.55,4.12,0.000247525,5.09e-07,0,1,1,0,0,0.4299999999999997,1,3,2.9137000000000004,1.005592139786176,8.048,11.253,0.2575218909671461
12,APPR,PREP,auf,12.0,2.0,pp,13.0,1.3,0.13,0.0,1.0,low,4.55,auf,4.68,4.55,0.014356436,1.51e-05,0,0,0,0,0,0.1299999999999999,0,1,3.1337,1.7281539228665197,5.556,2.747,-0.043369906433928185
13,ART,ART,die,15.0,0.0,det,14.0,1.15,0.15,1.0,1.0,low,4.74,der,4.83,4.68,0.109653465,6e-05,0,0,0,0,0,0.15000000000000036,0,1,3.3237000000000005,0.592252363608037,6.045,1.89,-0.3148974689105481
14,NN,N,Landstra_,13.0,21.0,pn,15.0,2.65,0.68,0.0,1.0,low,4.89,Landstra_e,5.51,4.83,0.000247525,5.09e-07,0,1,1,0,0,0.6799999999999997,1,4,3.4737,-0.3899311524730572,7.393,14.622,-0.16212937508494268
15,PPER,PRO,er,2.0,3.0,subj,1.0,1.15,0.18,1.0,1.0,low,6.18,Er,6.36,6.18,0.025,2.28e-05,0,1,0,0,0,0.1800000000000006,0,2,4.7637,-0.6223541205864123,5.939,1.432,0.9695666347583235
16,VVFIN,V,wohnen,0.0,10.0,root,2.0,1.9,0.43,0.0,1.0,low,6.4,wohnte,6.79,6.36,0.00049505,9.33e-07,1,1,1,0,0,0.4299999999999997,1,3,4.983700000000002,-0.5706853771906372,5.791,10.856,1.2368988238752359
17,APPR,PREP,in,2.0,1.0,objp,3.0,1.7,0.08,0.0,1.0,low,6.79,in,6.87,6.79,0.019059406,1.87e-05,0,0,0,0,0,0.08000000000000007,0,1,5.3737,-0.4148698093031313,5.36,1.597,0.23226389669570377
18,PIS,PRO,eine,3.0,3.0,pn,4.0,1.7,0.28,0.0,1.0,low,6.87,einem,7.15,6.87,0.018564356,1.83e-05,0,1,0,0,0,0.28000000000000025,0,2,5.4537,-0.6142827873078901,5.572,2.7939999999999996,1.4400741467184206
19,ART,ART,die,8.0,0.0,det,5.0,1.15,0.12,1.0,1.0,low,7.18,der,7.27,7.15,0.109653465,6e-05,0,0,0,0,0,0.11999999999999922,0,1,5.7637,-0.5002041044450993,7.977,0.336,1.266567085213966
20,ADJA,ADJA,klein,8.0,10.0,attr,6.0,1.7,0.47,2.0,1.0,low,7.44,kleinen,7.74,7.27,0.0014851489999999998,2.39e-06,1,1,1,0,0,0.4700000000000006,1,3,6.0237000000000025,-0.6164689583487348,8.046,5.851,0.9188137251500422
21,ADJA,ADJA,sandig,8.0,17.0,attr,7.0,2.55,0.55,3.0,1.0,low,7.74,sandigen,8.29,7.74,0.000247525,5.09e-07,1,1,1,0,0,0.5499999999999989,1,4,6.3237000000000005,-0.6167348344922553,7.557,4.04,0.23967993843231983
22,NN,N,Dorf,4.0,9.0,gmod,8.0,1.95,0.285,0.0,1.0,low,8.37,Dörfer,8.575,8.29,0.00049505,9.33e-07,0,1,1,0,0,0.2850000000000001,1,3,6.9537,-0.5870938057241659,6.8370000000000015,9.502,0.27601027641249715
23,APPRART,PREP,an,4.0,4.0,pp,9.0,1.1,0.385,0.0,1.0,low,8.575,am,8.96,8.575,0.008415842,9.95e-06,0,0,0,0,0,0.3850000000000016,0,2,7.1587,-0.5791756746639162,4.9060000000000015,1.795,0.11968678929178128
24,NN,N,Ufer,9.0,11.0,pn,10.0,1.85,0.32,0.0,1.0,low,8.96,Ufer,9.28,8.96,0.000990099,1.7e-06,0,1,1,0,0,0.3199999999999985,1,3,7.543700000000001,-0.5611881439191629,5.178999999999999,6.051,-0.2588047670337174
25,ART,ART,die,12.0,0.0,det,11.0,1.45,0.16,1.0,1.0,low,9.31,des,9.44,9.28,0.109653465,6e-05,0,0,0,0,0,0.16000000000000014,0,1,7.893700000000001,-0.6525316977490625,4.501,1.105,-0.1276211345223061
